source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux
141513988379856640,42.64699177181774,36.947752893027484,16.29523762707225,-9.85246871255827,-129.24461023274162,-2.8467174,6.294179,5.718408343190014E7,3.1290993774330005E7,3.741787606125131E7
246137776809763712,62.16553233551129,47.71236664387762,6.375553245522002,21.567567478507183,-32.380607714664194,,3.9444187,4.9794257433699024E8,3.5679229687259734E8,2.2427561338095906E8
249147311932147072,52.64371528526615,47.99530064901789,9.505969376245389,3.953951157096781,18.967637686876365,14.32336,3.8675852,5.344568806553259E8,1.9645952408079252E8,4.7692369317617714E8
250437313946591360,59.1528146624188,50.69479996042314,26.21702113860819,92.33391255827755,-129.6550293924721,,5.167717,1.6138379065463725E8,9.55828238339011E7,9.391944511410703E7
260900747632644352,74.94293443641553,53.155403981240084,4.365959438338605,-13.458359880165832,-10.815505351488238,-0.3982246,5.5645556,1.11975890745221E8,3.953337647439368E7,1.0433773540407138E8
285317808507191936,75.400340188798,61.07720233047317,28.32391007516209,16.97600067834439,-178.87199652682142,12.313621,5.9388194,7.932662212407257E7,4.7501881321670055E7,4.646342795582381E7
287221784689921280,82.54245856664122,63.06719805922208,3.0424006926174907,-5.60173447465791,-4.754125802460109,-20.89379,4.6065855,2.705904834447975E8,7.115346397363375E7,2.9020512039262354E8
354261723054404224,37.60505635459021,47.85375626395802,2.1375450919594456,-9.140734009628858,2.765764443078135,-29.34454,6.419242,5.096240682152197E7,1.3352214181794278E7,5.581138762318259E7
355431809584909696,36.103986575830724,50.00638343724548,8.068245338051293,24.573718194604137,-35.976525689916706,-13.632258,4.9302106,2.008456555759414E8,9.286170576862861E7,1.525713662545385E8
402726340181498752,15.362720597777015,49.544211050006226,2.0121832022017108,5.034764220605589,-2.271082167914158,-8.84895,6.1919794,6.282826152581749E7,2.7675962822448064E7,5.040909335677538E7
414844573229875712,10.516330240572175,50.512506558020945,2.9021845719617136,16.126354596431707,-6.049704182445149,,4.776489,2.313935914272652E8,1.7826728570870814E8,9.202122452059165E7
419090268665059712,6.2768743148044965,53.04676265248804,5.0585173161496915,22.1712234497195,-4.327716548851438,,5.694212,9.93715390484219E7,7.371077956674837E7,4.044218726191404E7
425955069515091456,13.750379736127003,58.97249926990205,9.062028370657641,-31.200451608684926,-44.98610566322925,-22.772703,4.45898,3.0999502206417054E8,1.2706272820192514E8,2.6000244548401088E8
426512590631144704,14.195950792545961,60.3628186209266,,,,,5.967921,7.722866241794705E7,8.537475716418062E7,4.65950716918037E7
426558460884582016,14.177450998208093,60.71672280471204,,,,,2.0645833,2.812635162862828E9,1.1093782234098816E9,9.39971791425066E8
428520986055878272,7.583182661597637,59.97753019197706,3.202052340637775,13.798313956494662,-5.049122044985197,,5.942178,7.90816434006683E7,5.894828579275595E7,3.60518825288468E7
432336806794345472,0.6504657189348808,66.0989627384363,4.062621074018301,7.262015893843199,-0.13656204525145166,-17.200136,5.585219,1.0986497565282331E8,4.924012627789703E7,8.633902691110198E7
441161693272718336,43.5644294632559,52.7624559609044,12.372553770757877,-8.310741304191689,-2.579751758939035,9.829909,3.707698,6.192520737673215E8,2.966126312758143E8,4.3394600721433294E8
441463612299313408,51.489253162496354,49.12063982878606,6.095926170707696,23.75282154366572,-26.656398099852325,,6.068375,7.040388980933015E7,5.349918994243938E7,2.8372837806836482E7
451548092429298944,36.965963955868446,50.56957303417661,18.434663922883963,31.718584637643694,-90.24575814900878,,6.0464883,7.183752986161715E7,4.264732787713117E7,4.290659291420635E7
453192618229494272,42.94789540354632,53.03177274034158,6.328044342637971,42.738712007131966,-8.729818960791441,59.70391,6.459504,4.910719304169468E7,1.8528727861357868E7,4.384225690941169E7
458456358355233920,35.48097631632931,57.24291124391237,0.4509166480995217,-0.5813465946430553,-1.2199636173855266,-43.68857,6.234268,6.0428165306206346E7,3.229797245598396E7,4.1910177862239785E7
466633662546212480,44.123978210742,62.60958026582093,2.2313215403427376,5.0904092058069645,-4.796809311424929,-18.310146,6.1169815,6.732156762915397E7,1.592007609128025E7,7.717583418407428E7
487286480940656768,56.50969325226341,63.344987620350096,2.9225123724989266,-2.15003376694572,-16.006699131534667,2.416095,4.4914093,3.0087283536203605E8,1.3887329351764557E8,2.260330361813976E8
489103870580813568,61.66206456695796,65.52068527037717,7.028451892311699,20.73129345376756,-25.41768260417998,-3.296764,6.12382,6.689886055642319E7,4.5850281811991036E7,3.209387928075432E7
491398310827131904,49.99708098036551,65.65222617297296,4.058940038966464,11.632387785636727,-16.961519377292515,,4.6590376,2.5782897775408617E8,1.8540286037647536E8,9.816366090585457E7
506664136434780288,32.87163383750768,57.64554234364665,0.5242631713730791,-0.6533793138001185,-0.7652384326723327,,6.2792935,5.7973473733567506E7,3.572940865236493E7,3.365690201000101E7
511974502720839040,28.599188504594277,63.670018347664225,7.003721351367755,29.587486438288494,-18.386769503554564,,3.3546658,8.571966542816901E8,6.01103995801282E8,3.402959120209069E8
517534664294712960,41.20727616113533,67.82448892388781,7.79280952478215,17.425825285411193,-32.01252031051145,-2.62986,5.9381804,7.937334010181497E7,5.504938660128071E7,3.7216101494975336E7
524837173854646784,20.272557487648427,64.65802914556106,12.784640732649958,59.1977725238957,-23.119149556378257,,6.3175707,5.596524505621074E7,3.9240922289519474E7,2.5772036395957842E7
526024715129959296,14.62991401446846,66.35173619401951,9.123948433759292,44.13872010312023,-12.957267327184562,-12.730519,5.9624877,7.76160784644793E7,5.7167582985241435E7,3.3074158033913385E7
562616771336652032,33.207469974364564,79.69162280580811,,,,,6.461599,4.901254753837151E7,3.3588794030519016E7,2.6152659769474436E7
