hpx,n,gflux,bpflux,rpflux
7407,152,1.7570308248130983E8,6.938968336537206E7,1.621794498993924E8
2888,136,1.7497551439054617E8,9.331132019130167E7,1.3083613154946257E8
6993,81,1.8668973538110965E8,9.318533778278342E7,1.367778110396358E8
4610,102,1.7081314457847628E8,8.374211607845472E7,1.2724494177181776E8
6863,89,1.3881161215102756E8,6.978395723513396E7,9.844621274898857E7
5404,479,5.712713393568158E8,2.6325831021562624E8,4.58841851868673E8
10511,807,8.709898805041081E8,3.630229797289439E8,7.601059371157256E8
4632,106,2.1501956255567232E8,1.0450559261087182E8,1.6075461425001317E8
8609,100,1.931662119059417E8,1.0057469502298804E8,1.3914236383990782E8
2423,193,2.777603764444767E8,1.3289025942715237E8,2.145282241833399E8
7222,883,1.2461490620559072E9,5.929718050599437E8,9.937339890706729E8
716,396,7.024435144834979E8,3.7794860309398156E8,5.487156609707257E8
3586,427,6.317734189598805E8,3.441880940001759E8,4.7345915044595546E8
10333,573,7.107540381266185E8,3.150117224815124E8,5.916685186398768E8
6086,629,7.907586589956671E8,3.981762054981427E8,5.92908924509003E8
6818,166,2.1736856181203943E8,1.08661633226798E8,1.5717299556818455E8
8614,101,1.6674267405979335E8,8.65337422317065E7,1.1765574030140382E8
5878,133,2.3595570293717068E8,9.679929758293416E7,2.0716827017029393E8
10625,615,6.710858337591472E8,2.823750974861649E8,5.934290489942136E8
8141,279,4.37681639475805E8,2.1632615417918423E8,3.253618625890887E8
8996,96,1.7839597589204156E8,9.537559071389736E7,1.2110308113639309E8
8722,116,2.5245540732779765E8,1.2634598594242144E8,1.8100134096426317E8
160,110,1.5563732176425678E8,8.20026327150781E7,1.194403675295831E8
1820,105,1.8835741530868933E8,9.11311758840056E7,1.4226809123907557E8
7590,144,2.979818060111446E8,1.522411820027305E8,2.1813350005106917E8
10803,449,5.741796632541211E8,2.7189751765840423E8,4.469255493451349E8
7794,228,2.9381134829869425E8,1.1945383585825531E8,2.5649972723122108E8
2096,79,1.5777290063912004E8,7.128142451448385E7,1.2506204401192477E8
3729,501,7.69906715061789E8,3.820875210531254E8,5.719893182928861E8
2638,85,1.8313502831781092E8,9.40455551785518E7,1.3032956369617665E8
8677,129,1.9077228563711777E8,9.642205727947365E7,1.365165478273494E8
3314,700,8.412201712453425E8,3.9063652910673356E8,6.964686118617342E8
10055,220,3.431672526247756E8,1.5702651985337362E8,2.7133133909154725E8
7159,83,1.032661077976577E8,5.1846306905768804E7,7.388031535183066E7
1848,116,2.1458039535243636E8,1.064238300647765E8,1.599266996341723E8
527,124,1.9601844929510617E8,1.0313977314957042E8,1.3923171392103466E8
6739,104,1.6637605522534028E8,8.465833366374372E7,1.2046792085980923E8
9663,277,4.2659477524886227E8,2.1454712960914367E8,3.1645465633743155E8
2427,168,3.138384797792331E8,1.4534109766589722E8,2.4620198651612493E8
4666,133,2.5452709455806878E8,1.046583231603443E8,2.2083583982198936E8
1355,90,2.3510072975550967E8,1.1259714897923645E8,1.8076953503123808E8
638,454,6.152635188528739E8,2.804412776284786E8,5.0015806386961806E8
250,217,3.5180385251816434E8,1.687375099404595E8,2.705238821269198E8
1160,235,4.80022775058147E8,2.469919041684381E8,3.515764218671728E8
11454,241,4.2309652043279785E8,2.0021079835815692E8,3.2572819425032717E8
227,138,2.3229130394359353E8,1.1835461639939177E8,1.6715275221157283E8
6042,287,3.990432254187749E8,1.9190253825535518E8,3.043915234688657E8
2245,86,1.6966804586596888E8,8.932172930920503E7,1.1929069273436096E8
9225,228,3.1177852713936204E8,1.2865322817489064E8,2.7143354637492335E8
6265,96,1.0201030706477135E8,4.879909996567241E7,7.848263133272086E7
4548,90,2.39801473457979E8,1.340373453476739E8,1.5435666584045023E8
2587,76,1.0227327083109035E8,5.192137154517716E7,7.397739049469124E7
11239,126,3.183736446585062E8,1.5661794172024402E8,2.3760132443255964E8
780,384,4.323693741147701E8,1.8738705637771064E8,3.662245515563157E8
8892,96,1.1351440846916834E8,5.4971095446066E7,8.726040866139172E7
9909,340,5.955157314044868E8,3.11054673169603E8,4.578170822897398E8
11655,156,3.5006361304979134E8,1.6681163962127435E8,2.6377836231412455E8
1277,117,2.7526241715035677E8,1.2784645403277175E8,2.160568089803256E8
4925,130,2.2854538442811397E8,1.072266644034211E8,1.7627536614180645E8
7795,224,3.251094796643632E8,1.498109662714318E8,2.5758331116880718E8
3362,267,4.204603432470209E8,2.036319983011807E8,3.3521484325811464E8
3131,397,5.653500268880811E8,2.614523029234951E8,4.460196404400615E8
10225,197,2.587487965676682E8,1.296425932308207E8,1.8959280391758487E8
9005,94,1.986996088642802E8,9.364866068016542E7,1.5585574770275673E8
4576,96,1.5291288712305406E8,7.485681068110187E7,1.1312348614551632E8
3397,221,4.154769991542132E8,1.9362401592068848E8,3.2505347260176504E8
8702,128,1.9216328870696628E8,9.07262029957755E7,1.5100859607454577E8
7443,339,4.9136734247124046E8,2.327087384092638E8,4.2261900880548453E8
6858,89,1.4148574387194192E8,7.091109812866671E7,1.0102050170337695E8
0,113,2.5528332048790473E8,1.2471737296959895E8,1.9287775711983898E8
10111,134,3.048532867160477E8,1.5225816247839016E8,2.2219145375584403E8
11883,277,4.2873720313148123E8,2.073846928362709E8,3.2164199051128674E8
5240,390,6.120129603186325E8,3.0195989504375106E8,4.6641991074522394E8
1973,164,2.3886952176424566E8,1.1935463611866638E8,1.73551038605576E8
9347,212,2.8610610738893974E8,1.3609253104063842E8,2.196258989098091E8
10837,438,6.158501635753309E8,2.82116972948168E8,4.997654610746627E8
8370,89,1.566780412094003E8,8.199193845570146E7,1.0805888076029855E8
10545,884,9.248373189038829E8,3.877844746364046E8,8.430463793384684E8
1599,217,3.637164338176033E8,1.7336586906057605E8,2.954124383493857E8
11971,248,2.723054592101201E8,1.1625482976351663E8,2.2903961190893394E8
11588,102,2.773802329105025E8,1.3571578394988644E8,2.0671729164175394E8
5627,342,5.737625214209437E8,2.9160701537680787E8,4.150791600565407E8
595,308,5.669686856699572E8,3.1594695421976626E8,3.8127250541372734E8
6306,147,2.1452475570729914E8,1.0521469595574377E8,1.5956171653419778E8
1841,124,1.934008286042476E8,9.114682357043307E7,1.4700668401210836E8
10064,200,2.735162493258699E8,1.4013665570467892E8,1.9647212349731508E8
9626,399,6.324325854351809E8,2.9302494909345704E8,5.2375284984804994E8
725,605,8.080472514393371E8,4.004289089914783E8,6.202185743819362E8
8747,107,1.8938342659173146E8,8.994899391566837E7,1.4446474179471517E8
666,260,3.9850446423501563E8,1.9568083016015688E8,2.998709716083782E8
5484,326,4.752531968814495E8,2.6096376352916554E8,3.58802773900891E8
8333,124,1.9492228830290788E8,1.0119956746855041E8,1.5204119542224014E8
7239,637,6.53801744168093E8,2.754752147910775E8,5.574954239858558E8
6145,205,3.354035783016739E8,1.6928018994457713E8,2.8008189250837004E8
4708,85,1.6205799432926717E8,7.282053702916448E7,1.2948137897737178E8
10786,765,9.882625812401221E8,4.756571008490176E8,7.834099361246225E8
6403,105,1.3824387603535038E8,6.945269358822846E7,9.722104957541478E7
2338,115,2.2036515142502508E8,1.0680763657344969E8,1.6672595150917682E8
3061,182,2.9894860265781575E8,1.4203721568481526E8,2.3214560663590053E8
5867,127,1.8202933863435474E8,8.465118120341371E7,1.4752482337218451E8
10066,196,2.8515721842847186E8,1.384254356876833E8,2.1260841141635308E8
5214,536,7.185010829132797E8,3.668497515058209E8,5.248041744154343E8
3837,197,3.1895066149976206E8,1.632854236933966E8,2.261146351941612E8
5305,169,3.412319712578562E8,1.740048759805579E8,2.4466309935029572E8
3960,309,5.2947184718392295E8,2.664219281805435E8,3.905401145252918E8
931,361,5.666036843948405E8,2.6238785319159266E8,4.571010286552526E8
5165,204,4.1045331330939275E8,1.9523460113068172E8,3.313864154850039E8
1367,79,1.2776995772585349E8,6.517087940437913E7,9.083872787916662E7
11318,144,2.324298849500386E8,1.051020702828031E8,1.82886546427224E8
4566,111,1.8767960262186587E8,8.879569233934003E7,1.4308285205992228E8
6561,79,1.3836948788832688E8,6.698879128191281E7,1.0577075135496823E8
3715,426,8.173941131673038E8,4.056423338872733E8,6.120121933868532E8
1938,145,2.0603015938498285E8,1.0434300726505648E8,1.4937041726290858E8
11100,186,3.648302517864873E8,1.7261353404868865E8,2.8600922305028474E8
1402,87,1.7083572415399337E8,9.764912097620447E7,1.1840349354313655E8
5134,216,3.7754968443172556E8,1.989922376629242E8,2.713110717151404E8
9632,363,5.675118422480214E8,2.759203063403235E8,4.35541468558648E8
4098,85,1.4398893593310457E8,7.739119927512912E7,1.0381495758590823E8
4212,84,1.841805814356149E8,1.0096906813599879E8,1.338015048424382E8
4083,200,2.91807364420649E8,1.492884835413485E8,2.188611999826465E8
7839,154,2.597643135424899E8,1.0796025935161635E8,2.2184428489495954E8
480,336,5.913774148112384E8,2.3697707219482976E8,5.338069209219986E8
5347,209,3.460824118786473E8,1.7064527544588044E8,2.569855269464778E8
12061,140,2.1402723083158442E8,1.033701874765841E8,1.593618056882495E8
3506,739,8.597350247688562E8,3.8443556512304777E8,7.262039249457916E8
10526,847,8.966374253209293E8,3.5988038435397506E8,8.068170505142809E8
6227,131,2.3086251925307816E8,1.1244350870383473E8,1.7489199594460797E8
7544,473,5.68534317166476E8,2.3764913898270816E8,4.8843771550058997E8
9681,205,2.955369291651719E8,1.4009459258362362E8,2.2203495769525516E8
3986,283,3.900041828916978E8,1.897947425939439E8,2.958811304424861E8
1466,113,2.75053309393724E8,1.4969773427222016E8,1.8714688716844797E8
9926,488,6.867756895181874E8,3.455417496491869E8,5.0599809276372534E8
11707,125,1.9235717967255235E8,9.931482656953435E7,1.3500788911884227E8
6433,117,2.835109133847981E8,1.3225278284640515E8,2.2564250846508032E8
10617,524,7.051935211193627E8,2.8187936738654405E8,6.406539427638876E8
8520,157,2.836501828982349E8,1.2742279435355404E8,2.260654466883294E8
7683,117,1.8617809290231892E8,7.854814691555542E7,1.724334495535991E8
311,177,2.5627881093732238E8,1.230084371331845E8,2.2840412765719295E8
10477,616,6.307633302471582E8,2.5944440983963403E8,5.541211246188478E8
7473,401,4.191550787050673E8,1.5901736785090697E8,3.8547597881009823E8
6986,70,1.4076378748201388E8,6.3477923235492736E7,1.1104013148076253E8
1844,110,1.743951846220343E8,8.325332187645449E7,1.3289468326017341E8
7142,71,1.2519479729925105E8,6.4702377932910554E7,8.891468444417347E7
8967,92,1.987942625295779E8,9.184804759580404E7,1.6209502822220027E8
983,209,3.369552739826753E8,1.6842107450808176E8,2.474119807340544E8
5135,224,3.804712719519587E8,1.944477484393888E8,2.7605955693749285E8
